caldt,sprtrn
19880623,-0.003047
19880624,-0.003784
19880627,-0.017240
19880628,0.012079
19880629,-0.004884
19880630,0.009300
19880701,-0.006289
19880705,0.014828
19880706,-0.013741
19880707,-0.000882
19880708,-0.006476
19880711,0.001963
19880712,-0.009980
19880713,0.005488
19880714,0.003490
19880715,0.006623
19880718,-0.005661
19880719,-0.007541
19880720,0.005699
19880721,-0.012370
19880722,-0.011850
19880725,0.004478
19880726,0.001927
19880727,-0.010144
19880728,0.013410
19880729,0.022555
19880801,0.000698
19880802,-0.000551
19880803,0.003382
19880804,-0.003846
19880805,-0.002868
19880808,-0.004315
19880809,-0.012927
19880810,-0.017224
19880811,0.003246
19880812,-0.000761
19880815,-0.014702
19880816,0.007229
19880817,0.000806
19880818,0.000997
19880819,-0.003026
19880822,-0.012527
19880823,0.000428
19880824,0.015714
19880825,-0.007468
19880826,0.001929
19880829,0.010205
19880830,0.000686
19880831,-0.003771
19880901,-0.012121
19880902,0.023728
19880906,0.004197
19880907,0.001054
19880908,0.000038
19880909,0.003611
19880912,-0.001387
19880913,0.003603
19880914,0.007030
19880915,-0.004382
19880916,0.009398
19880919,-0.006762
19880920,0.003385
19880921,0.001594
19880922,-0.003627
19880923,0.002155
19880926,-0.003262
19880927,-0.002306
19880928,0.003057
19880929,0.013044
19880930,-0.002495
19881003,-0.001949
19881004,-0.002801
19881005,0.004582
19881006,0.001950
19881007,0.020852
19881010,0.000611
19881011,-0.001114
19881012,-0.014212
19881013,0.004526
19881014,0.001017
19881017,0.003303
19881018,0.010745
19881019,-0.008626
19881020,0.021338
19881021,0.002757
19881024,-0.004865
19881025,0.000354
19881026,-0.003541
19881027,-0.014571
19881028,0.004508
19881031,0.001580
19881101,0.000323
19881102,0.000000
19881103,0.000502
19881104,-0.010351
19881107,-0.008614
19881108,0.004454
19881109,-0.006615
19881110,0.001317
19881111,-0.021082
19881114,-0.000746
19881115,0.002316
19881116,-0.016844
19881117,0.002957
19881118,0.007067
19881121,-0.000938
19881122,0.003719
19881123,0.006699
19881125,-0.006580
19881128,0.005276
19881129,0.008450
19881130,0.010299
19881201,-0.004421
19881202,-0.002496
19881205,0.011479
19881206,0.009675
19881207,0.001945
19881208,-0.005609
19881209,0.001663
19881212,-0.001841
19881213,-0.000759
19881214,-0.003619
19881215,-0.003741
19881216,0.007328
19881219,0.009483
19881220,-0.005163
19881221,-0.000324
19881222,-0.001839
19881223,0.003612
19881227,-0.003743
19881228,0.000903
19881229,0.008373
19881230,-0.006013
19890103,-0.008678
19890104,0.014965
19890105,0.002076
19890106,0.002357
19890109,0.001105
19890110,-0.002135
19890111,0.005814
19890112,0.004113
19890113,0.002472
19890116,0.000951
19890117,-0.002076
19890118,0.010510
19890119,0.001291
19890120,-0.000941
19890123,-0.007431
19890124,0.014025
19890125,0.002253
19890126,0.008819
19890127,0.007302
19890130,0.003982
19890131,0.008407
19890201,-0.001277
19890202,-0.000841
19890203,0.000438
19890206,-0.003132
19890207,0.012127
19890208,-0.003271
19890209,-0.008672
19890210,-0.013646
19890213,0.001781
19890214,-0.002495
19890215,0.008327
19890216,0.001937
19890217,0.006614
19890221,-0.002628
19890222,-0.017130
19890223,0.003919
19890224,-0.016846
19890227,0.002403
19890228,0.003613
19890301,-0.006058
19890302,0.009892
19890303,0.004242
19890306,0.012467
19890307,-0.003188
19890308,0.000715
19890309,-0.000510
19890310,-0.003572
19890313,0.008331
19890314,-0.000610
19890315,0.005184
19890316,0.009337
19890317,-0.022542
19890320,-0.009464
19890321,0.004863
19890322,-0.002883
19890323,-0.005198
19890327,0.005502
19890328,0.003510
19890329,0.002606
19890330,0.000581
19890331,0.008034
19890403,0.005155
19890404,-0.003644
19890405,0.003149
19890406,-0.003207
19890407,0.006333
19890410,-0.000168
19890411,0.004645
19890412,0.001675
19890413,-0.008662
19890414,0.016734
19890417,0.001195
19890418,0.014252
19890419,0.003693
19890420,-0.003126
19890421,0.011170
19890424,-0.002971
19890425,-0.006285
19890426,0.000587
19890427,0.008634
19890428,0.000194
19890501,-0.001679
19890502,-0.003235
19890503,0.000130
19890504,-0.001266
19890505,-0.000520
19890508,-0.005234
19890509,-0.002647
19890510,0.001999
19890511,0.003761
19890512,0.022447
19890515,0.007392
19890516,-0.002783
19890517,0.006978
19890518,0.001543
19890519,0.010284
19890522,0.002304
19890523,-0.011367
19890524,0.002576
19890525,0.000094
19890526,0.007582
19890530,-0.007898
19890531,0.004607
19890601,0.004524
19890602,0.011026
19890605,-0.010721
19890606,0.006863
19890607,0.008358
19890608,-0.000612
19890609,-0.000184
19890612,-0.001377
19890613,-0.007142
19890614,-0.000247
19890615,-0.011580
19890616,0.003968
19890619,0.001680
19890620,-0.001988
19890621,-0.002397
19890622,0.005741
19890623,0.017622
19890626,-0.004268
19890627,0.005634
19890628,-0.008008
19890629,-0.018815
19890630,-0.005318
19890703,0.003931
19890705,0.004417
19890706,0.002838
19890707,0.010449
19890710,0.006648
19890711,0.005228
19890712,0.003133
19890713,0.000424
19890714,0.005728
19890717,0.001808
19890718,-0.003279
19890719,0.013219
19890720,-0.006612
19890721,0.007166
19890724,-0.006639
19890725,0.000629
19890726,0.012490
19890727,0.011655
19890728,0.000468
19890731,0.011486
19890801,-0.006733
19890802,0.001716
19890803,0.001162
19890804,-0.002379
19890807,0.015963
19890808,-0.000172
19890809,-0.006899
19890810,0.003776
19890811,-0.010079
19890814,-0.004873
19890815,0.004810
19890816,0.002756
19890817,-0.003501
19890818,0.004587
19890821,-0.015490
19890822,0.001526
19890823,0.010288
19890824,0.019785
19890825,-0.002845
19890828,0.004479
19890829,-0.006390
19890830,0.002315
19890831,0.002281
19890901,0.006487
19890905,-0.003308
19890906,-0.009417
19890907,-0.002548
19890908,0.001177
19890911,-0.003154
19890912,0.002991
19890913,-0.009292
19890914,-0.006658
19890915,0.005537
19890918,0.004840
19890919,-0.000519
19890920,-0.000231
19890921,-0.002222
19890922,0.003905
19890925,-0.008126
19890926,0.000291
19890927,0.002236
19890928,0.010142
19890929,0.001578
19891002,0.004926
19891003,0.010944
19891004,0.006287
19891005,0.000084
19891006,0.005070
19891009,0.002843
19891010,-0.001862
19891011,-0.005959
19891012,-0.004482
19891013,-0.061257
19891016,0.027666
19891017,-0.004929
19891018,0.001759
19891019,0.015713
19891020,0.000086
19891023,-0.006712
19891024,-0.003277
19891025,-0.003491
19891026,-0.013343
19891027,-0.008493
19891030,0.000030
19891031,0.015788
19891101,0.002468
19891102,-0.007972
19891103,-0.002541
19891106,-0.014839
19891107,0.006614
19891108,0.009976
19891109,-0.004672
19891110,0.007517
19891113,0.001327
19891114,-0.004594
19891115,0.007545
19891116,0.000117
19891117,0.003024
19891120,-0.006616
19891121,0.000707
19891122,0.006832
19891124,0.006025
19891127,0.004768
19891128,0.000463
19891129,-0.006276
19891130,0.006956
19891201,0.013411
19891204,0.002225
19891205,-0.005208
19891206,-0.002946
19891207,-0.002754
19891208,0.003165
19891211,-0.000373
19891212,0.009095
19891213,0.002900
19891214,-0.005159
19891215,-0.002479
19891218,-0.018197
19891219,-0.003579
19891220,0.001110
19891221,0.005659
19891222,0.007657
19891226,-0.001756
19891227,0.005767
19891228,0.005332
19891229,0.007785
19900102,0.017799
19900103,-0.002586
19900104,-0.008613
19900105,-0.009756
19900108,0.004514
19900109,-0.011787
19900110,-0.006607
19900111,0.003513
19900112,-0.024675
19900115,-0.008619
19900116,0.011128
19900117,-0.009831
19900118,0.002341
19900119,0.002839
19900122,-0.025859
19900123,0.003723
19900124,-0.004071
19900125,-0.012657
19900126,-0.000859
19900129,-0.001842
19900130,-0.006827
19900131,0.018887
19900201,-0.000881
19900202,0.006478
19900205,0.002810
19900206,-0.006599
19900207,0.012407
19900208,-0.002367
19900209,0.001982
19900212,-0.010611
19900213,0.002848
19900214,0.002991
19900215,0.008674
19900216,-0.006480
19900220,-0.014216
19900221,-0.000976
19900222,-0.006012
19900223,-0.004759
19900226,0.013944
19900227,0.004838
19900228,0.004936
19900301,0.002561
19900302,0.008415
19900305,-0.005364
19900306,0.012555
19900307,-0.002900
19900308,0.009853
19900309,-0.006877
19900312,0.002190
19900313,-0.007884
19900314,0.002589
19900315,0.003562
19900316,0.011359
19900319,0.004738
19900320,-0.005705
19900321,-0.005358
19900322,-0.011921
19900323,0.004558
19900326,0.001216
19900327,0.011462
19900328,0.001464
19900329,-0.003538
19900330,-0.002494
19900402,-0.003648
19900403,0.014585
19900404,-0.007421
19900405,-0.001055
19900406,-0.001908
19900409,0.003793
19900410,0.002051
19900411,-0.000439
19900412,0.007078
19900416,0.001162
19900417,-0.000174
19900418,-0.011489
19900419,-0.007719
19900420,-0.008785
19900423,-0.012145
19900424,-0.002084
19900425,0.005055
19900426,0.002680
19900427,-0.011444
19900430,0.005135
19900501,0.004383
19900502,0.006712
19900503,0.003259
19900504,0.008404
19900507,0.006324
19900508,0.004346
19900509,0.002485
19900510,0.002800
19900511,0.023792
19900514,0.007813
19900515,-0.001325
19900516,-0.000790
19900517,0.001328
19900518,0.000480
19900521,0.009474
19900522,0.001201
19900523,0.002399
19900524,-0.002449
19900525,-0.010686
19900529,0.017119
19900530,0.000582
19900531,0.001025
19900601,0.005343
19900604,0.011675
19900605,-0.002069
19900606,-0.004582
19900607,-0.004959
19900608,-0.012226
19900611,0.008140
19900612,0.012775
19900613,-0.003686
19900614,-0.005481
19900615,0.000028
19900618,-0.016616
19900619,0.004455
19900620,0.001757
19900621,0.003815
19900622,-0.013982
19900625,-0.008778
19900626,-0.000710
19900627,0.008749
19900628,0.007011
19900629,0.001091
19900702,0.004246
19900703,0.001724
19900705,-0.012439
19900706,0.007704
19900709,0.003069
19900710,-0.008428
19900711,0.013296
19900712,0.011655
19900713,0.005117
19900716,0.004465
19900717,-0.003876
19900718,-0.008979
19900719,0.003020
19900720,-0.010155
19900723,-0.017422
19900724,0.001351
19900725,0.003654
19900726,-0.003304
19900727,-0.006940
19900730,0.005970
19900731,0.001688
19900801,-0.001769
19900802,-0.011364
19900803,-0.018835
19900806,-0.030244
19900807,0.001196
19900808,0.010513
19900809,0.004699
19900810,-0.013002
19900813,0.009895
19900814,0.001623
19900815,0.001974
19900816,-0.022555
19900817,-0.013719
19900820,0.002074
19900821,-0.020243
19900822,-0.016498
19900823,-0.029979
19900824,0.014492
19900827,0.031877
19900828,-0.000311
19900829,0.008869
19900830,-0.016904
19900831,0.012080
19900904,0.001643
19900905,0.004024
19900906,-0.012115
19900907,0.009174
