gvkey,gvkeyx,from,thru,conm,tic,co_tic,co_cusip
009408,000003,19640331,19950921,S&P 500 Comp-Ltd,I0003,SFX.2,802183103
011678,000003,19640331,19951107,S&P 500 Comp-Ltd,I0003,ZE,989349105
002529,000003,19640331,19951126,S&P 500 Comp-Ltd,I0003,CBS.1,124845108
009514,000003,19640331,19951212,S&P 500 Comp-Ltd,I0003,SPP.3,809877103
004603,000003,19640331,19960312,S&P 500 Comp-Ltd,I0003,FBO,313693103
002436,000003,19640331,19960721,S&P 500 Comp-Ltd,I0003,CAL,129500104
008325,000003,19640331,19970618,S&P 500 Comp-Ltd,I0003,PEL.1,697926103
004393,000003,19640331,19970805,S&P 500 Comp-Ltd,I0003,TXU2,873170005
002159,000003,19640331,19980630,S&P 500 Comp-Ltd,I0003,BNL.1,081721102
005968,000003,19640331,19980630,S&P 500 Comp-Ltd,I0003,RYI,78375P107
004073,000003,19640331,19980930,S&P 500 Comp-Ltd,I0003,DI.,261597108
005087,000003,19640331,19981006,S&P 500 Comp-Ltd,I0003,SPXC,784635104
003022,000003,19640331,19981112,S&P 500 Comp-Ltd,I0003,C.3,171196108
001755,000003,19640331,19981123,S&P 500 Comp-Ltd,I0003,AS.,042170100
001609,000003,19640331,19990103,S&P 500 Comp-Ltd,I0003,AN.2,031905102
011584,000003,19640331,19990103,S&P 500 Comp-Ltd,I0003,FL,344849104
006701,000003,19640331,19990411,S&P 500 Comp-Ltd,I0003,ANV.1,007869100
010855,000003,19640331,19990502,S&P 500 Comp-Ltd,I0003,UCC.2,905530101
009810,000003,19640331,19991025,S&P 500 Comp-Ltd,I0003,SNT.1,835415100
001789,000003,19640331,19991026,S&P 500 Comp-Ltd,I0003,AR.2,043413103
007475,000003,19640331,19991130,S&P 500 Comp-Ltd,I0003,MOB.2,607059102
005693,000003,19640331,19991201,S&P 500 Comp-Ltd,I0003,HON.Z,438506107
003419,000003,19640331,20000130,S&P 500 Comp-Ltd,I0003,D2,209615004
004864,000003,19640331,20000130,S&P 500 Comp-Ltd,I0003,FWLT,H27178104
001848,000003,19640331,20000417,S&P 500 Comp-Ltd,I0003,ARC.3,048825103
009114,000003,19640331,20000504,S&P 500 Comp-Ltd,I0003,RLM.1,761763101
011436,000003,19640331,20000504,S&P 500 Comp-Ltd,I0003,CBS.2,12490K107
007938,000003,19640331,20000604,S&P 500 Comp-Ltd,I0003,NC,629579103
002847,000003,19640331,20000615,S&P 500 Comp-Ltd,I0003,CSR.1,152357109
011288,000003,19640331,20000620,S&P 500 Comp-Ltd,I0003,WLA,934488107
003041,000003,19640331,20000628,S&P 500 Comp-Ltd,I0003,MZIAQ,598709301
004961,000003,19640331,20000702,S&P 500 Comp-Ltd,I0003,GTE.1,362320103
005301,000003,19640331,20000829,S&P 500 Comp-Ltd,I0003,GAPTQ,390064103
008214,000003,19640331,20001001,S&P 500 Comp-Ltd,I0003,OC,69073F103
002562,000003,19640331,20001002,S&P 500 Comp-Ltd,I0003,BFO.2,08658U101
003255,000003,19640331,20001022,S&P 500 Comp-Ltd,I0003,UCM.2,904911104
003206,000003,19640331,20001101,S&P 500 Comp-Ltd,I0003,NI2,197648009
001762,000003,19640331,20001116,S&P 500 Comp-Ltd,I0003,3ACKH,042384107
002189,000003,19640331,20001210,S&P 500 Comp-Ltd,I0003,3BHMSQ,087509105
